,graph,algo,seed,s,t,dist,time_dist,search_space
362,08blocks,BiBFS-python,3404785993,18,13,2,1.8835067749023438e-05,4
363,08blocks,BiBFS-python,3404785993,31,25,2,1.9073486328125e-05,4
364,08blocks,BiBFS-python,3404785993,20,9,2,2.002716064453125e-05,4
365,08blocks,BiBFS-python,3404785993,15,22,2,2.002716064453125e-05,4
366,08blocks,BiBFS-python,3404785993,3,0,1,1.0013580322265625e-05,1
367,08blocks,BiBFS-python,3404785993,3,36,2,2.002716064453125e-05,4
368,08blocks,BiBFS-python,3404785993,20,6,2,2.002716064453125e-05,4
369,08blocks,BiBFS-python,3404785993,32,13,2,2.002716064453125e-05,4
370,08blocks,BiBFS-python,3404785993,29,33,2,1.9073486328125e-05,4
371,08blocks,BiBFS-python,3404785993,29,25,2,1.8835067749023438e-05,4
372,08blocks,BiBFS-python,3404785993,15,32,2,1.9788742065429688e-05,4
373,08blocks,BiBFS-python,3404785993,13,18,2,2.288818359375e-05,4
374,08blocks,BiBFS-python,3404785993,15,35,2,1.9788742065429688e-05,4
375,08blocks,BiBFS-python,3404785993,11,8,2,2.002716064453125e-05,4
376,08blocks,BiBFS-python,3404785993,4,14,2,2.09808349609375e-05,4
377,08blocks,BiBFS-python,3404785993,36,24,2,2.09808349609375e-05,4
378,08blocks,BiBFS-python,3404785993,22,2,2,2.002716064453125e-05,4
379,08blocks,BiBFS-python,3404785993,3,27,2,2.09808349609375e-05,4
380,08blocks,BiBFS-python,3404785993,5,26,2,1.9788742065429688e-05,4
381,08blocks,BiBFS-python,3404785993,34,24,2,1.9788742065429688e-05,4
382,08blocks,BiBFS-python,3404785993,4,22,2,2.0265579223632812e-05,4
383,08blocks,BiBFS-python,3404785993,37,32,2,1.9073486328125e-05,3
384,08blocks,BiBFS-python,3404785993,15,7,2,2.09808349609375e-05,4
385,08blocks,BiBFS-python,3404785993,14,28,2,2.3126602172851562e-05,4
386,08blocks,BiBFS-python,3404785993,6,36,2,2.002716064453125e-05,4
387,08blocks,BiBFS-python,3404785993,5,0,1,1.0013580322265625e-05,1
388,08blocks,BiBFS-python,3404785993,33,28,2,2.1219253540039062e-05,4
389,08blocks,BiBFS-python,3404785993,13,17,2,2.002716064453125e-05,4
390,08blocks,BiBFS-python,3404785993,4,33,2,1.9788742065429688e-05,4
391,08blocks,BiBFS-python,3404785993,2,8,2,1.9311904907226562e-05,4
392,08blocks,BiBFS-python,3404785993,32,13,2,1.9073486328125e-05,4
393,08blocks,BiBFS-python,3404785993,3,25,2,2.9325485229492188e-05,4
394,08blocks,BiBFS-python,3404785993,9,10,1,1.3113021850585938e-05,3
395,08blocks,BiBFS-python,3404785993,9,30,2,2.09808349609375e-05,4
396,08blocks,BiBFS-python,3404785993,31,18,2,1.9788742065429688e-05,4
397,08blocks,BiBFS-python,3404785993,7,35,2,2.09808349609375e-05,4
398,08blocks,BiBFS-python,3404785993,10,33,2,2.09808349609375e-05,4
399,08blocks,BiBFS-python,3404785993,26,8,2,2.5987625122070312e-05,4
800,1138_bus,BiBFS-python,3404785993,127,705,6,0.0005309581756591797,213
801,1138_bus,BiBFS-python,3404785993,279,979,15,0.001809835433959961,666
802,1138_bus,BiBFS-python,3404785993,535,738,17,0.0009531974792480469,383
803,1138_bus,BiBFS-python,3404785993,379,153,15,0.0015017986297607422,598
804,1138_bus,BiBFS-python,3404785993,782,974,8,0.0003058910369873047,148
805,1138_bus,BiBFS-python,3404785993,823,172,8,0.0006372928619384766,271
806,1138_bus,BiBFS-python,3404785993,127,765,6,0.00017213821411132812,74
807,1138_bus,BiBFS-python,3404785993,184,861,11,0.0007989406585693359,335
808,1138_bus,BiBFS-python,3404785993,132,663,10,0.0004968643188476562,224
809,1138_bus,BiBFS-python,3404785993,213,50,4,9.393692016601562e-05,35
810,1138_bus,BiBFS-python,3404785993,122,477,9,0.0005021095275878906,206
811,1138_bus,BiBFS-python,3404785993,913,711,6,7.295608520507812e-05,19
812,1138_bus,BiBFS-python,3404785993,619,266,11,0.0010988712310791016,456
813,1138_bus,BiBFS-python,3404785993,1023,446,16,0.0006849765777587891,257
814,1138_bus,BiBFS-python,3404785993,345,441,10,0.00030994415283203125,128
815,1138_bus,BiBFS-python,3404785993,895,470,19,0.0012538433074951172,498
816,1138_bus,BiBFS-python,3404785993,738,496,17,0.0015609264373779297,541
817,1138_bus,BiBFS-python,3404785993,383,626,13,0.0014469623565673828,618
818,1138_bus,BiBFS-python,3404785993,654,598,13,0.0008051395416259766,351
819,1138_bus,BiBFS-python,3404785993,916,896,18,0.001127004623413086,439
820,1138_bus,BiBFS-python,3404785993,476,1046,17,0.0016281604766845703,649
821,1138_bus,BiBFS-python,3404785993,291,794,12,0.0012307167053222656,508
822,1138_bus,BiBFS-python,3404785993,569,173,16,0.0016491413116455078,682
823,1138_bus,BiBFS-python,3404785993,1005,319,18,0.0009641647338867188,347
824,1138_bus,BiBFS-python,3404785993,1126,166,10,0.00035834312438964844,127
825,1138_bus,BiBFS-python,3404785993,478,1023,23,0.0017328262329101562,643
826,1138_bus,BiBFS-python,3404785993,322,278,5,0.00015163421630859375,47
827,1138_bus,BiBFS-python,3404785993,361,806,13,0.001096963882446289,362
828,1138_bus,BiBFS-python,3404785993,35,1121,18,0.00151824951171875,599
829,1138_bus,BiBFS-python,3404785993,226,124,5,0.0002429485321044922,109
830,1138_bus,BiBFS-python,3404785993,353,196,11,0.0007641315460205078,303
831,1138_bus,BiBFS-python,3404785993,123,426,5,6.508827209472656e-05,24
832,1138_bus,BiBFS-python,3404785993,116,1022,17,0.0007488727569580078,245
833,1138_bus,BiBFS-python,3404785993,348,673,11,0.0011112689971923828,433
834,1138_bus,BiBFS-python,3404785993,1057,318,16,0.0017170906066894531,696
835,1138_bus,BiBFS-python,3404785993,1068,1030,19,0.0009751319885253906,363
836,1138_bus,BiBFS-python,3404785993,610,705,11,0.0005567073822021484,234
837,1138_bus,BiBFS-python,3404785993,1000,342,10,0.00067901611328125,271
838,1138_bus,BiBFS-python,3404785993,553,249,21,0.002425670623779297,960
839,1138_bus,BiBFS-python,3404785993,407,607,12,0.0006279945373535156,227
840,1138_bus,BiBFS-python,3404785993,761,965,15,0.0008158683776855469,262
841,1138_bus,BiBFS-python,3404785993,41,346,16,0.0016400814056396484,671
842,1138_bus,BiBFS-python,3404785993,755,255,13,0.0013949871063232422,577
843,1138_bus,BiBFS-python,3404785993,27,526,10,0.0003960132598876953,185
844,1138_bus,BiBFS-python,3404785993,1120,930,13,0.0008561611175537109,330
845,1138_bus,BiBFS-python,3404785993,830,989,6,8.0108642578125e-05,28
